Card,AnnualFee,,Point Type,PointValue,PointValue_CashValue,,Dining,Grocery,Travel,Rent,Others,,Sign_Up_Bonus_Points,Spending_Requirements
Chase_Sapphire_Prefered ,95,,Chase_Ultimate_Rewards,0.0205,0.01,,3,3,2,0,1,,75000,4000
Chase_Sapphire_Reserve,550,,Chase_Ultimate_Rewards,0.0205,0.01,,3,1,3,0,1,,75000,4000
Chase_Freedom_Unlimited,0,,Chase_Ultimate_Rewards,0.0205,0.01,,3,1.5,1.5,0,1.5,,20000,500
Chase_United_Gateway_Card,0,,United_MileagePlus,0.0135,0,,1,1,2,0,1,,20000,1000
Chase_United_Explorer_Card,95,,United_MileagePlus,0.0135,0,,2,1,2,0,1,,50000,3000
Chase_United_Quest_Card,250,,United_MileagePlus,0.0135,0,,2,1,3,0,1,,60000,4000
Chase_United_Infinite_Card,525,,United_MileagePlus,0.0135,0,,2,1,4,0,1,,80000,5000
American_Express_Green_Card,150,,AMEX_Membership_Rewards,0.02,0.006,,1,3,3,0,1,,40000,3000
American_Express_Gold_Card,250,,AMEX_Membership_Rewards,0.02,0.006,,4,4,3,0,1,,60000,6000
American_Express_Platinum_Card,695,,AMEX_Membership_Rewards,0.02,0.006,,1,1,5,0,1,,100000,8000
Amex_EveryDay_Preferred_Credit_Card,95,,AMEX_Membership_Rewards,0.02,0.006,,1,3,1,0,1,,15000,2000
Amex_EveryDay_Credit_Card,0,,AMEX_Membership_Rewards,0.02,0.006,,1,2,1,0,1,,10000,2000
Amex_Blue_Cash_Preferred_Card,95,,US Cents,0.01,0.01,,1,6,1,0,1,,25000,3000
Amex_Blue_Cash_Everyday_Card,0,,US Cents,0.01,0.01,,1,3,1,0,1,,20000,2000
Amex_Cash_Magnet_Card,0,,US Cents,0.01,0.01,,1.5,1.5,1.5,0,1.5,,20000,20000
Delta_SkyMiles_Blue_American_Express_Card,0,,Delta_SkyMiles,0.0115,0,,2,1,2,0,1,,10000,1000
Delta_SkyMiles_Gold_American_Express_Card,150,,Delta_SkyMiles,0.0115,0,,2,2,2,0,1,,40000,2000
Delta_SkyMiles_Platinum_American_Express_Card,350,,Delta_SkyMiles,0.0115,0,,2,2,3,0,1,,50000,3000
Delta_SkyMiles_Reserve_American_Express_Card,650,,Delta_SkyMiles,0.0115,0,,1,1,3,0,1,,60000,5000
BILT_Card,0,,BILT Rewards,0.0205,0.0055,,3,1,2,1,1,,0,0
Hilton_Honors_American_Express_Card,0,,Hilton_Honors,0.006,0,,5,5,7,0,3,,70000,2000
Hilton_Honors_American_Express_Surpass_Card,150,,Hilton_Honors,0.006,0,,6,6,12,0,3,,130000,3000
Hilton_Honors_American_Express_Aspire_Card,550,,Hilton_Honors,0.006,0,,7,3,14,0,3,,175000,6000
Marriott_Bonvoy_Bevy_American_Express_Card,250,,Marriott_Bonvoy,0.0085,0,,4,4,6,0,2,,85000,5000
Marriott_Bonvoy_Brilliant_American_Express_Card,650,,Marriott_Bonvoy,0.0085,0,,3,2,6,0,2,,95000,6000
