NumSelectedCards,ObjectiveValue
1,987.0
2,1642.0
3,2167.0
4,2502.0
5,2782.0
6,3002.0
7,3202.0
8,3402.0
9,3602.0
10,3802.0
11,4002.0
12,4184.0
13,4269.0
14,4354.0
15,4439.0
16,4439.0
17,4439.0
18,4439.0
19,4439.0
20,4439.0
21,4439.0
22,4439.0
23,4439.0
24,4400.0
25,4331.0
26,4236.0
27,4141.0
28,4046.0
29,3951.0
30,3856.0
31,3757.0
32,3658.0
33,3509.0
34,3359.0
35,3209.0
36,3059.0
37,2809.0
38,2559.0
39,2309.0
40,2059.0
41,1709.0
42,1314.0
43,789.0
44,239.0
45,-356.0
46,-1006.0
47,-1656.0
48,-2351.0
